Unnamed: 0,label,text
0,1,"Error: HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=en&sl=zh-CN&q=%E5%BE%88%E5%BF%AB%EF%BC%8C%E5%A5%BD%E5%90%83%EF%BC%8C%E5%91%B3%E9%81%93%E8%B6%B3%EF%BC%8C%E9%87%8F%E5%A4%A7 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))"
1,1,"Error: HTTPSConnectionPool(host='translate.google.com', port=443): Max retries exceeded with url: /m?tl=en&sl=zh-CN&q=%E6%B2%A1%E6%9C%89%E9%80%81%E6%B0%B4%E6%B2%A1%E6%9C%89%E9%80%81%E6%B0%B4%E6%B2%A1%E6%9C%89%E9%80%81%E6%B0%B4 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006)')))"
2,1,Very fast and has a good attitude.
3,1,"Convenient, fast, delicious, express delivery"
4,1,The food tastes great! The meal delivery is timely!
5,1,Did the master's hands tremble today? It's slightly spicy and especially spicy!
6,1,"Fast delivery, very good attitude, thank you"
7,1,It's delivered very soon. Thank you for your hard work in such a cold weather. Thank you. The spicy hot pot is still delicious.
8,1,"After 2 hours late last time, this time it was super fast and it was delivered in 20 minutes..."
9,1,"I ordered it in the last five minutes, and the seller is very easy to accept the order, thank you."
10,1,"Large amount, delicious, enough to eat twice each time"
11,1,"Very spicy, it's OK to eat"
12,1,"Taste good, fast delivery, plenty of portions"
13,1,"Enough, delicious, quick delivery"
14,1,"Very delicious, very large, and the delivery is very fast, very good"
15,1,The taste is good and the speed is fast!
16,1,"Very delicious pot, with enough portions and no taste."
17,1,"tasty! speed! The packaging is also of quality, and you can enjoy the taste of the restaurant without leaving the house!"
18,1,"The taste is great, the delivery is very fast, thank you for your hard work"
19,1,The food delivery is very good
20,1,The food delivery chef is very good and the taste is amazing
21,1,"Delivery speed is very fast, I have been booking this one, I like"
22,1,Very convenient and delivered soon. Great
23,1,"Delicious, always order, so many are enough for five people to eat. Delivered very quickly."
24,1,"Very delicious, I'll visit it next time"
25,1,"The delivery is very fast, the attitude is good, thank you"
26,1,"The service is very good, it was delivered very quickly, it was delivered in less than half an hour"
27,1,"The speed is very fast, and the takeaway knights are very good on the smog day, so praise it!"
28,1,"Authentic taste, large quantity and lots of content"
29,1,"The meal delivery is very fast, and the attitude is very good, thank you"
30,1,"Fast and good, full, eat often"
31,1,"Very large pot, 7 small portions were ordered"
32,1,The delivery staff has a good attitude and a fast speed!
33,1,"Thank you for your hard service in this weather, thank you"
34,1,"Very fast delivery, good attitude, thank you very much"
35,1,"Delivery very quickly and packed well! Thank you, Master!"
36,1,"The best spicy hot pot nearby, no joke"
37,1,"It tastes good and has a lot of portions, so it is recommended to order small portions. Sweet potatoes are so delicious that they are too rotten and easy to break"
38,1,"Not bad, just a little salty"
39,1,Thank you for your delivery guy so late
